Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GetQuote,Chrome 73.0.3683.103,,2019-04-23 13:13:07,2019-04-23 13:15:47,2m - 40.080s,FAILED
,,,,,,
Test Cases/AddLead,Chrome 73.0.3683.103,,2019-04-23 13:13:07,2019-04-23 13:13:49,41.205s,PASSED
"openBrowser(""https://staging.clickhook.io/login"")",Chrome 73.0.3683.103,,2019-04-23 13:13:08,2019-04-23 13:13:20,12.731s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-23 13:13:20,2019-04-23 13:13:22,1.071s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Chrome 73.0.3683.103,,2019-04-23 13:13:22,2019-04-23 13:13:22,0.273s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_password""), password)",Chrome 73.0.3683.103,,2019-04-23 13:13:22,2019-04-23 13:13:22,0.212s,PASSED
"sendKeys(findTestObject(""Page_Login/input_Log In_password""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-23 13:13:22,2019-04-23 13:13:22,0.118s,PASSED
"click(findTestObject(""Object Repository/Page_All Leads/button_Add a lead""))",Chrome 73.0.3683.103,,2019-04-23 13:13:22,2019-04-23 13:13:26,3.544s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/LeadEmail""), leadEmail)",Chrome 73.0.3683.103,,2019-04-23 13:13:26,2019-04-23 13:13:26,0.363s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/AddLeadName""), leadName)",Chrome 73.0.3683.103,,2019-04-23 13:13:26,2019-04-23 13:13:26,0.200s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/Company""), leadCompany)",Chrome 73.0.3683.103,,2019-04-23 13:13:26,2019-04-23 13:13:26,0.247s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/Phone""), leadPhone)",Chrome 73.0.3683.103,,2019-04-23 13:13:26,2019-04-23 13:13:27,0.250s,PASSED
"click(findTestObject(""Object Repository/LeadDetails/LeadWorkFlow""))",Chrome 73.0.3683.103,,2019-04-23 13:13:27,2019-04-23 13:13:27,0.150s,PASSED
"click(findTestObject(""Object Repository/LeadDetails/workFlowsNames""))",Chrome 73.0.3683.103,,2019-04-23 13:13:27,2019-04-23 13:13:27,0.202s,PASSED
"click(findTestObject(""Object Repository/LeadDetails/AddButton""))",Chrome 73.0.3683.103,,2019-04-23 13:13:27,2019-04-23 13:13:27,0.146s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Page_NewName - All Leads/span_New Comapny""), ""text"", ""testb@test.com"", 20)",Chrome 73.0.3683.103,,2019-04-23 13:13:27,2019-04-23 13:13:49,21.291s,PASSED
,,,,,,
Test Cases/AddLead,Chrome 73.0.3683.103,,2019-04-23 13:13:49,2019-04-23 13:14:31,42.472s,FAILED
"openBrowser(""https://staging.clickhook.io/login"")",Chrome 73.0.3683.103,,2019-04-23 13:13:49,2019-04-23 13:13:58,9.505s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-23 13:13:58,2019-04-23 13:14:00,1.196s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Chrome 73.0.3683.103,,2019-04-23 13:14:00,2019-04-23 13:14:00,0.313s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_password""), password)",Chrome 73.0.3683.103,,2019-04-23 13:14:00,2019-04-23 13:14:00,0.152s,PASSED
"sendKeys(findTestObject(""Page_Login/input_Log In_password""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-23 13:14:00,2019-04-23 13:14:00,0.061s,PASSED
"click(findTestObject(""Object Repository/Page_All Leads/button_Add a lead""))",Chrome 73.0.3683.103,,2019-04-23 13:14:00,2019-04-23 13:14:31,31.205s,FAILED
,,,,,,
Test Cases/AddLead,Chrome 73.0.3683.103,,2019-04-23 13:14:31,2019-04-23 13:15:14,42.657s,FAILED
"openBrowser(""https://staging.clickhook.io/login"")",Chrome 73.0.3683.103,,2019-04-23 13:14:31,2019-04-23 13:14:42,10.048s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-23 13:14:42,2019-04-23 13:14:43,1.179s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Chrome 73.0.3683.103,,2019-04-23 13:14:43,2019-04-23 13:14:43,0.206s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_password""), password)",Chrome 73.0.3683.103,,2019-04-23 13:14:43,2019-04-23 13:14:43,0.150s,PASSED
"sendKeys(findTestObject(""Page_Login/input_Log In_password""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-23 13:14:43,2019-04-23 13:14:43,0.062s,PASSED
"click(findTestObject(""Object Repository/Page_All Leads/button_Add a lead""))",Chrome 73.0.3683.103,,2019-04-23 13:14:43,2019-04-23 13:15:14,30.962s,FAILED
,,,,,,
Test Cases/startQuote,Chrome 73.0.3683.103,,2019-04-23 13:15:14,2019-04-23 13:15:45,31.164s,FAILED
"click(findTestObject(""Object Repository/quoteManagment/startQuote""))",Chrome 73.0.3683.103,,2019-04-23 13:15:14,2019-04-23 13:15:45,31.033s,FAILED
